step,epoch,lossD,lossG,sec_per_step
1,1,1.231047,1.063671,0.0320
2,1,0.681931,2.618932,0.0389
3,1,0.243512,3.533007,0.0360
4,1,0.134755,3.876603,0.0348
5,1,0.083618,4.074629,0.0340
6,1,0.063761,4.238029,0.0337
7,1,0.052783,4.392280,0.0332
8,1,0.042833,4.532418,0.0329
9,1,0.031268,4.678330,0.0327
10,1,0.030889,4.810306,0.0325
11,1,0.026998,4.906472,0.0324
12,1,0.023824,5.000417,0.0330
13,1,0.020548,5.067039,0.0334
14,1,0.019286,5.115011,0.0334
15,1,0.019041,5.142161,0.0333
16,1,0.020559,5.138299,0.0331
17,1,0.018581,5.134660,0.0330
18,1,0.016220,5.171334,0.0329
19,1,0.022284,5.233301,0.0327
20,1,0.016642,5.322728,0.0327
21,1,0.015305,5.415065,0.0326
22,1,0.019204,5.475872,0.0325
23,1,0.014401,5.533562,0.0325
24,1,0.012758,5.630178,0.0324
25,1,0.012388,5.741956,0.0323
26,1,0.012102,5.741295,0.0323
27,1,0.011927,5.859145,0.0322
28,1,0.010089,5.858676,0.0322
29,1,0.010435,5.938443,0.0321
30,1,0.009633,6.018447,0.0321
31,1,0.009833,6.025194,0.0320
32,1,0.009092,6.057383,0.0320
33,1,0.007070,6.079643,0.0320
34,1,0.008326,6.012222,0.0319
35,1,0.008594,5.980454,0.0319
36,1,0.010113,5.921815,0.0319
37,1,0.010496,5.970097,0.0319
38,1,0.009751,5.904929,0.0318
39,1,0.010587,5.952231,0.0318
40,1,0.008731,6.100229,0.0318
41,1,0.008675,6.242215,0.0318
42,1,0.007639,6.249803,0.0318
43,1,0.005865,6.318211,0.0317
44,1,0.005831,6.404458,0.0317
45,1,0.005667,6.406216,0.0317
46,1,0.004972,6.592803,0.0317
47,1,0.005133,6.536458,0.0317
48,1,0.004540,6.495497,0.0317
49,1,0.004509,6.587868,0.0316
50,1,0.005379,6.451134,0.0316
51,1,0.004825,6.558918,0.0316
52,1,0.004682,6.305034,0.0316
53,1,0.005126,6.365499,0.0316
54,1,0.006595,6.369422,0.0316
55,1,0.006587,6.319446,0.0316
56,1,0.006111,6.227726,0.0315
57,1,0.006617,6.327517,0.0315
58,1,0.006473,6.292754,0.0315
59,1,0.006339,6.410564,0.0315
60,1,0.005474,6.413217,0.0315
61,1,0.006171,6.464495,0.0315
62,1,0.005354,6.414464,0.0314
63,1,0.004747,6.651314,0.0314
64,1,0.005671,6.575812,0.0314
65,1,0.005587,6.754531,0.0314
66,1,0.006572,6.615142,0.0314
67,1,0.008196,6.799614,0.0314
68,1,0.006978,6.716625,0.0314
69,1,0.007052,6.846849,0.0314
70,1,0.006234,6.677022,0.0314
71,1,0.008123,6.707790,0.0314
72,1,0.008144,6.768553,0.0314
73,1,0.008077,6.904677,0.0314
74,1,0.013430,6.537622,0.0314
75,1,0.012281,6.971797,0.0314
76,1,0.010256,6.574093,0.0314
77,1,0.009714,6.829827,0.0314
78,1,0.009504,6.544137,0.0314
79,1,0.006717,6.793849,0.0314
80,1,0.009465,6.979935,0.0314
81,1,0.007777,6.828353,0.0313
82,1,0.008879,6.682818,0.0313
83,1,0.005686,6.661084,0.0313
84,1,0.007629,6.880427,0.0313
85,1,0.009581,7.374621,0.0313
86,1,0.011996,6.661279,0.0313
87,1,0.007612,6.621356,0.0313
88,1,0.008268,6.571840,0.0313
89,1,0.011033,6.405656,0.0313
90,1,0.008878,6.837593,0.0313
91,1,0.009682,6.806997,0.0313
92,1,0.007169,6.847948,0.0313
93,1,0.006527,7.203796,0.0313
94,1,0.009089,6.949635,0.0313
95,1,0.011413,6.623780,0.0313
96,1,0.007128,6.760648,0.0313
97,1,0.007546,7.105698,0.0313
98,1,0.006334,7.261212,0.0313
99,1,0.005760,7.034849,0.0313
100,1,0.005798,6.856982,0.0313
101,1,0.004054,6.918659,0.0314
102,1,0.003385,7.059788,0.0314
103,1,0.004574,7.210713,0.0314
104,1,0.002737,7.407936,0.0315
105,1,0.002680,7.414191,0.0315
106,1,0.002230,7.358089,0.0315
107,1,0.002094,7.539238,0.0315
108,1,0.001902,7.608180,0.0315
109,1,0.001748,7.620436,0.0315
110,1,0.002794,7.580637,0.0315
111,1,0.001526,7.771941,0.0315
112,1,0.001579,7.701354,0.0315
113,1,0.003024,7.689676,0.0315
114,1,0.001550,7.629227,0.0315
115,1,0.001308,7.636147,0.0314
116,1,0.001430,7.704843,0.0314
117,1,0.002114,7.541685,0.0314
118,1,0.001411,7.364690,0.0314
119,1,0.002088,7.217495,0.0314
120,1,0.003032,6.947802,0.0314
121,1,0.004115,7.025006,0.0314
122,1,0.004173,7.050682,0.0314
123,1,0.002815,6.910540,0.0314
124,1,0.002608,6.972229,0.0314
125,1,0.002297,7.068087,0.0314
126,1,0.002276,7.051680,0.0314
127,1,0.002462,7.015816,0.0314
128,1,0.002762,6.926476,0.0314
129,1,0.003061,6.887753,0.0314
130,1,0.003762,6.755778,0.0314
131,1,0.004563,6.723405,0.0314
132,1,0.003289,6.831428,0.0314
133,1,0.003124,6.827331,0.0314
134,1,0.003147,6.793792,0.0314
135,1,0.003224,6.928691,0.0314
136,1,0.002686,6.898747,0.0314
137,1,0.003160,6.895377,0.0314
138,1,0.003212,6.959467,0.0314
139,1,0.003602,6.843667,0.0314
140,1,0.004588,6.870991,0.0314
141,1,0.003520,6.943060,0.0314
142,1,0.004412,7.095344,0.0314
143,1,0.003818,7.196168,0.0314
144,1,0.003786,6.919552,0.0314
145,1,0.004162,7.257970,0.0314
146,1,0.002726,7.402369,0.0314
147,1,0.002861,7.594177,0.0314
148,1,0.003085,7.541860,0.0314
149,1,0.002565,7.724069,0.0314
150,1,0.001998,7.542793,0.0314
151,1,0.001551,7.847018,0.0314
152,1,0.001171,7.776050,0.0314
153,1,0.001491,7.918250,0.0314
154,1,0.001004,7.894855,0.0314
155,1,0.001393,7.903738,0.0314
156,1,0.001512,8.147666,0.0314
157,1,0.001503,8.145075,0.0314
158,1,0.001063,8.054329,0.0314
159,1,0.001376,8.103241,0.0314
160,1,0.001568,8.031803,0.0314
161,1,0.001192,7.988516,0.0314
162,1,0.001066,7.927038,0.0313
163,1,0.001108,7.868954,0.0313
164,1,0.001096,7.927111,0.0313
165,1,0.001223,7.730865,0.0313
166,1,0.001935,7.442365,0.0313
167,1,0.002942,7.071014,0.0313
168,1,0.005166,6.971722,0.0313
169,1,0.005754,7.002886,0.0313
170,1,0.003623,7.226494,0.0313
171,1,0.003856,7.025083,0.0313
172,1,0.002496,7.077509,0.0313
173,1,0.003894,7.137912,0.0313
174,1,0.004429,7.444196,0.0313
175,1,0.015228,8.422882,0.0314
176,1,0.011400,7.496146,0.0314
177,1,0.014355,8.773121,0.0314
178,1,0.009647,7.549732,0.0314
179,1,0.027806,9.237885,0.0314
180,1,0.010426,6.953051,0.0314
181,1,0.276676,0.933049,0.0314
182,1,1.520291,12.770071,0.0314
183,1,0.415992,8.102327,0.0314
184,1,0.009827,6.796499,0.0314
185,1,0.011736,5.826394,0.0314
186,1,0.012152,6.062669,0.0314
187,1,0.011349,6.862762,0.0314
188,1,0.010480,6.826280,0.0314
189,1,0.007771,6.934125,0.0314
190,1,0.006410,6.805094,0.0314
191,1,0.007176,6.887088,0.0314
192,1,0.007680,6.643641,0.0314
193,1,0.008327,6.980764,0.0314
194,1,0.007639,6.806637,0.0314
195,1,0.008960,6.396808,0.0314
196,1,0.009450,6.721196,0.0314
197,1,0.008731,6.265268,0.0314
198,1,0.010999,6.565237,0.0314
199,1,0.016321,6.618058,0.0314
200,1,0.028566,6.054582,0.0314
201,1,0.031098,6.340544,0.0315
202,1,0.028917,6.394563,0.0315
203,1,0.035728,5.893886,0.0315
204,1,0.061574,7.556266,0.0315
205,1,0.038735,5.924615,0.0315
206,1,0.590426,6.135618,0.0315
207,1,0.064029,5.036746,0.0315
208,1,0.026951,6.672106,0.0315
209,1,0.019164,6.483561,0.0315
210,1,0.011093,5.939426,0.0315
211,1,0.011732,5.659619,0.0315
212,1,0.013878,5.686271,0.0315
213,1,0.022168,5.267325,0.0315
214,1,0.024224,5.776995,0.0315
215,1,0.026166,5.518725,0.0315
216,1,0.045703,5.275161,0.0315
217,1,0.034451,5.959106,0.0315
218,1,0.029083,5.590631,0.0315
219,1,0.032637,5.123908,0.0315
220,1,0.029179,5.201128,0.0315
221,1,0.029037,5.837332,0.0315
222,1,0.020770,5.754124,0.0315
223,1,0.029951,5.892985,0.0315
224,1,0.040184,5.319961,0.0315
225,1,0.079719,4.599485,0.0315
226,1,0.049799,5.348327,0.0315
227,1,0.044568,4.981547,0.0315
228,1,0.034249,5.168678,0.0315
229,1,0.027793,5.366066,0.0315
230,1,0.027892,5.145383,0.0315
231,1,0.032006,5.287215,0.0315
232,1,0.027090,5.046703,0.0315
233,1,0.033314,4.766729,0.0315
234,1,0.040734,5.733703,0.0315
235,1,0.069754,3.988914,0.0315
236,1,0.063504,6.055331,0.0315
237,1,0.030336,4.992168,0.0315
238,1,0.054377,4.483787,0.0315
239,1,0.055765,4.348705,0.0315
240,1,0.055477,4.139615,0.0315
241,1,0.084802,4.496029,0.0315
242,1,0.124946,3.505781,0.0315
243,1,0.085365,5.298904,0.0315
244,1,0.076295,3.971754,0.0315
245,1,0.070405,3.748633,0.0315
246,1,0.099890,3.432709,0.0315
247,1,0.107047,3.309219,0.0315
248,1,0.098773,4.168659,0.0315
249,1,0.074855,5.383520,0.0315
250,1,0.062012,3.730660,0.0314
251,1,0.095328,4.045546,0.0314
252,1,0.057601,5.028590,0.0314
253,1,0.111528,4.784932,0.0314
254,1,0.096091,5.164724,0.0314
